No	Protein	Protein	Class
2270	CG15352	CG4867	1
2271	CG15356	CG3114	1
2272	CG15364	CG17836	1
2273	CG15367	CG3689	1
2274	CG15367	CG8598	1
2275	CG15370	CG18734	1
2276	CG15370	CG3081	1
2277	CG15370	CG5089	1
2278	CG15370	CG8965	1
2279	CG15370	CG9224	1
2280	CG15370	CG9975	1
2281	CG15382	CG1591	1
2282	CG15389	CG5325	1
2283	CG15415	CG4863	1
2284	CG1542	CG9511	1
2285	CG15422	CG17018	1
2286	CG15422	CG31302	1
2287	CG15422	CG32016	1
2288	CG15422	CG4220	1
2289	CG15422	CG5099	1
2290	CG15422	CG6544	1
2291	CG15422	CG7381	1
2292	CG15422	CG8086	1
2293	CG15422	CG8216	1
2294	CG15422	CG8541	1
2295	CG15435	CG1660	1
2296	CG15435	CG32016	1
2297	CG15435	CG7139	1
2298	CG15435	CG9072	1
2299	CG1544	CG3166	1
2300	CG1544	CG3195	1
2301	CG1544	CG6524	1
2302	CG15442	CG3918	1
2303	CG15442	CG4832	1
2304	CG15442	CG5064	1
2305	CG15442	CG6843	1
2306	CG15443	CG1821	1
2307	CG15443	CG2168	1
2308	CG15443	CG2171	1
2309	CG15443	CG3186	1
2310	CG15443	CG8359	1
2311	CG15459	CG31363	1
2312	CG15459	CG5927	1
2313	CG15475	CG2746	1
2314	CG15475	CG5481	1
2315	CG15478	CG16896	1
2316	CG15478	CG2677	1
2317	CG15478	CG3649	1
2318	CG15482	CG16833	1
2319	CG15482	CG1977	1
2320	CG15482	CG5648	1
2321	CG15482	CG5780	1
2322	CG15482	CG7808	1
2323	CG15482	CG9776	1
2324	CG15504	CG2950	1
2325	CG15509	CG9418	1
2326	CG15520	CG7191	1
2327	CG15524	CG15865	1
2328	CG15524	CG17450	1
2329	CG15524	CG4887	1
2330	CG15525	CG16725	1
2331	CG15525	CG3193	1
2332	CG15525	CG6058	1
2333	CG15525	CG8900	1
2334	CG1553	CG5303	1
2335	CG15530	CG8766	1
2336	CG15545	CG3661	1
2337	CG15545	CG5935	1
2338	CG15546	CG6486	1
2339	CG15549	CG8383	1
2340	CG15564	CG32940	1
2341	CG15564	CG4088	1
2342	CG15564	CG4337	1
2343	CG15564	CG4959	1
2344	CG15564	CG5320	1
2345	CG15564	CG5641	1
2346	CG15564	CG7945	1
2347	CG15576	CG17498	1
2348	CG15576	CG32446	1
2349	CG15576	CG5780	1
2350	CG15576	CG6510	1
2351	CG15576	CG6779	1
2352	CG15576	CG8508	1
2353	CG15615	CG3195	1
2354	CG15617	CG9665	1
2355	CG15618	CG17358	1
2356	CG15618	CG6197	1
2357	CG15632	CG2209	1
2358	CG15634	CG2467	1
2359	CG15634	CG32068	1
2360	CG15634	CG5333	1
2361	CG15634	CG6779	1
2362	CG15634	CG8190	1
2363	CG15634	CG9291	1
2364	CG15634	CG9665	1
2365	CG15636	CG18468	1
2366	CG15636	CG6219	1
2367	CG15636	CG6875	1
2368	CG15636	CG8044	1
2369	CG15638	CG3279	1
2370	CG15646	CG1591	1
2371	CG15646	CG32226	1
2372	CG15646	CG3922	1
2373	CG15646	CG3938	1
2374	CG15646	CG5280	1
2375	CG15646	CG5733	1
2376	CG15646	CG6459	1
2377	CG15646	CG9124	1
2378	CG15649	CG6459	1
2379	CG15649	CG7176	1
2380	CG15649	CG9392	1
2381	CG15654	CG5445	1
2382	CG15669	CG2910	1
2383	CG15669	CG30159	1
2384	CG15669	CG5134	1
2385	CG15685	CG15753	1
2386	CG15685	CG5026	1
2387	CG15693	CG30011	1
2388	CG15693	CG30115	1
2389	CG15693	CG4795	1
2390	CG15693	CG5576	1
2391	CG15693	CG5838	1
2392	CG15693	CG6950	1
2393	CG15697	CG3771	1
2394	CG15705	CG2774	1
2395	CG15705	CG9893	1
2396	CG15710	CG9967	1
2397	CG15737	CG15893	1
2398	CG15737	CG2865	1
2399	CG15737	CG4832	1
2400	CG15737	CG5923	1
2401	CG15737	CG8206	1
2402	CG15737	CG9511	1
2403	CG15753	CG30084	1
2404	CG15753	CG6779	1
2405	CG15753	CG7570	1
2406	CG15760	CG3395	1
2407	CG15764	CG1591	1
2408	CG15764	CG2855	1
2409	CG15764	CG3403	1
2410	CG15764	CG4759	1
2411	CG15764	CG4845	1
2412	CG15764	CG6605	1
2413	CG15764	CG8282	1
2414	CG15764	CG9837	1
2415	CG15771	CG15811	1
2416	CG15771	CG17567	1
2417	CG15771	CG32711	1
2418	CG15771	CG4959	1
2419	CG15771	CG8965	1
2420	CG1578	CG15822	1
2421	CG1578	CG6197	1
2422	CG15797	CG1851	1
2423	CG15797	CG2107	1
2424	CG15797	CG8725	1
2425	CG15811	CG32705	1
2426	CG15871	CG7008	1
2427	CG15878	CG7191	1
2428	CG15883	CG7744	1
2429	CG15893	CG7277	1
2430	CG1591	CG4216	1
2431	CG15916	CG6510	1
2432	CG15923	CG9556	1
2433	CG15927	CG17358	1
2434	CG1598	CG9614	1
2435	CG1600	CG16747	1
2436	CG1600	CG8411	1
2437	CG1619	CG8793	1
2438	CG1630	CG18064	1
2439	CG1630	CG31732	1
2440	CG1630	CG32315	1
2441	CG1630	CG32737	1
2442	CG1630	CG7363	1
2443	CG1634	CG8816	1
2444	CG1636	CG9101	1
2445	CG1637	CG2830	1
2446	CG1641	CG31999	1
2447	CG1641	CG3610	1
2448	CG1641	CG4071	1
2449	CG1641	CG7238	1
2450	CG1643	CG17337	1
2451	CG1643	CG3557	1
2452	CG1643	CG3821	1
2453	CG1643	CG5045	1
2454	CG1643	CG6022	1
2455	CG1643	CG6343	1
2456	CG1643	CG6779	1
2457	CG1644	CG7765	1
2458	CG1646	CG33070	1
2459	CG1648	CG1746	1
2460	CG1659	CG31637	1
2461	CG1659	CG32264	1
2462	CG1659	CG7840	1
2463	CG1659	CG8674	1
2464	CG1660	CG16747	1
2465	CG1665	CG9331	1
2466	CG1671	CG7191	1
2467	CG16711	CG4619	1
2468	CG16719	CG8669	1
2469	CG16719	CG9166	1
2470	CG16721	CG18266	1
2471	CG16721	CG4617	1
2472	CG16721	CG5792	1
2473	CG16721	CG5939	1
2474	CG16721	CG9368	1
2475	CG16725	CG6539	1
2476	CG16734	CG5434	1
2477	CG1674	CG18449	1
2478	CG1674	CG4303	1
2479	CG1674	CG5327	1
2480	CG16747	CG17050	1
2481	CG16747	CG17273	1
2482	CG16747	CG2227	1
2483	CG16747	CG2944	1
2484	CG16747	CG30389	1
2485	CG16747	CG31640	1
2486	CG16747	CG31917	1
2487	CG16747	CG32594	1
2488	CG16747	CG33070	1
2489	CG16747	CG4617	1
2490	CG16747	CG5874	1
2491	CG16747	CG5928	1
2492	CG16747	CG6058	1
2493	CG16747	CG6407	1
2494	CG16747	CG7171	1
2495	CG16747	CG7546	1
2496	CG16747	CG7570	1
2497	CG16747	CG9072	1
2498	CG16747	CG9324	1
2499	CG16747	CG9471	1
2500	CG16758	CG4153	1
2501	CG16781	CG4955	1
2502	CG16784	CG3365	1
2503	CG16790	CG5519	1
2504	CG1681	CG7764	1
2505	CG16826	CG1685	1
2506	CG16826	CG2709	1
2507	CG16826	CG4617	1
2508	CG16826	CG5642	1
2509	CG16826	CG8490	1
2510	CG1685	CG17604	1
2511	CG16853	CG33209	1
2512	CG16869	CG8540	1
2513	CG16894	CG4042	1
2514	CG16894	CG4484	1
2515	CG16894	CG4835	1
2516	CG16953	CG9099	1
2517	CG16969	CG4071	1
2518	CG16969	CG8291	1
2519	CG16972	CG4751	1
2520	CG16972	CG4918	1
2521	CG16972	CG8449	1
2522	CG16972	CG8996	1
2523	CG16972	CG9250	1
2524	CG16978	CG7211	1
2525	CG16978	CG9035	1
2526	CG16984	CG7104	1
2527	CG16985	CG17903	1
2528	CG16985	CG4722	1
2529	CG16985	CG5920	1
2530	CG16985	CG8857	1
2531	CG17003	CG5445	1
2532	CG17003	CG5447	1
2533	CG17018	CG2987	1
2534	CG17018	CG3075	1
2535	CG17018	CG33141	1
2536	CG17018	CG4216	1
2537	CG17018	CG5099	1
2538	CG17018	CG7156	1
2539	CG17046	CG9669	1
2540	CG1705	CG7765	1
2541	CG17050	CG17604	1
2542	CG17050	CG17855	1
2543	CG17050	CG2258	1
2544	CG17050	CG2830	1
2545	CG17050	CG2910	1
2546	CG17050	CG2925	1
2547	CG17050	CG2950	1
2548	CG17050	CG3114	1
2549	CG17050	CG3193	1
2550	CG17050	CG3323	1
2551	CG17050	CG4062	1
2552	CG17050	CG4771	1
2553	CG17050	CG5933	1
2554	CG17050	CG5939	1
2555	CG17050	CG6569	1
2556	CG17050	CG7238	1
2557	CG17050	CG7856	1
2558	CG17050	CG8965	1
2559	CG17050	CG9527	1
2560	CG17059	CG18332	1
2561	CG17081	CG7744	1
2562	CG17097	CG2925	1
2563	CG17127	CG2194	1
2564	CG17127	CG31029	1
2565	CG17127	CG3918	1
2566	CG17127	CG9368	1
2567	CG17129	CG32737	1
2568	CG17143	CG18005	1
2569	CG17143	CG32809	1
2570	CG17143	CG6768	1
2571	CG17153	CG17928	1
2572	CG17153	CG31045	1
2573	CG17153	CG6340	1
2574	CG17153	CG6569	1
2575	CG17153	CG6755	1
2576	CG17153	CG8092	1
2577	CG17153	CG9007	1
2578	CG17154	CG8359	1
2579	CG17154	CG8965	1
2580	CG17158	CG17744	1
2581	CG17158	CG1847	1
2582	CG17158	CG3195	1
2583	CG17158	CG3661	1
2584	CG17158	CG4087	1
2585	CG17158	CG6519	1
2586	CG17158	CG6533	1
2587	CG17158	CG7254	1
2588	CG17158	CG8177	1
2589	CG17158	CG8900	1
2590	CG17186	CG18806	1
2591	CG17186	CG2865	1
2592	CG17186	CG31363	1
2593	CG17190	CG5927	1
2594	CG17217	CG9986	1
2595	CG17219	CG7139	1
2596	CG17221	CG4832	1
2597	CG17237	CG4169	1
2598	CG17237	CG5191	1
2599	CG17237	CG5676	1
2600	CG17244	CG4079	1
2601	CG17246	CG31052	1
2602	CG17246	CG7787	1
2603	CG17246	CG9473	1
2604	CG17255	CG3151	1
2605	CG17271	CG3060	1
2606	CG17271	CG31302	1
2607	CG17271	CG4771	1
2608	CG17271	CG5733	1
2609	CG17273	CG32451	1
2610	CG17273	CG7146	1
2611	CG17286	CG30115	1
2612	CG17295	CG1871	1
2613	CG17295	CG3114	1
2614	CG17295	CG6497	1
2615	CG17320	CG32486	1
2616	CG17325	CG8291	1
2617	CG17325	CG9578	1
2618	CG17325	CG9665	1
2619	CG17327	CG3880	1
2620	CG17332	CG7849	1
2621	CG17337	CG2830	1
2622	CG17342	CG17360	1
2623	CG17342	CG2709	1
2624	CG17342	CG3492	1
2625	CG17342	CG8247	1
2626	CG17347	CG5604	1
2627	CG17358	CG5654	1
2628	CG17358	CG5662	1
2629	CG17358	CG6194	1
2630	CG17358	CG6569	1
2631	CG17358	CG7518	1
2632	CG17358	CG8972	1
2633	CG17358	CG9331	1
2634	CG17358	CG9770	1
2635	CG17360	CG2746	1
2636	CG17360	CG8092	1
2637	CG17364	CG8191	1
2638	CG17370	CG9511	1
2639	CG17377	CG1921	1
2640	CG17377	CG33008	1
2641	CG17377	CG3713	1
2642	CG17377	CG4959	1
2643	CG17377	CG6707	1
2644	CG17377	CG9911	1
2645	CG1746	CG32264	1
2646	CG1746	CG4887	1
2647	CG17498	CG32000	1
2648	CG17510	CG3880	1
2649	CG17520	CG33070	1
2650	CG17520	CG4220	1
2651	CG17520	CG4887	1
2652	CG17521	CG3004	1
2653	CG17521	CG32654	1
2654	CG17521	CG7546	1
2655	CG17521	CG8187	1
2656	CG1753	CG4216	1
2657	CG17564	CG17744	1
2658	CG17564	CG5121	1
2659	CG17564	CG8383	1
2660	CG17567	CG3081	1
2661	CG17592	CG32159	1
2662	CG17592	CG6685	1
2663	CG17592	CG7088	1
2664	CG17604	CG3939	1
2665	CG17604	CG4432	1
2666	CG17604	CG5371	1
2667	CG17604	CG8649	1
2668	CG17645	CG4217	1
2669	CG17652	CG4617	1
2670	CG17654	CG2540	1
2671	CG17654	CG31319	1
2672	CG17654	CG33070	1
2673	CG17654	CG3308	1
2674	CG17654	CG6707	1
2675	CG17654	CG7352	1
2676	CG17660	CG7939	1
2677	CG17712	CG5984	1
2678	CG17725	CG4865	1
2679	CG17739	CG1874	1
2680	CG17739	CG6222	1
2681	CG17744	CG7172	1
2682	CG17744	CG9802	1
2683	CG17757	CG7929	1
2684	CG17776	CG17841	1
2685	CG17776	CG2765	1
2686	CG17776	CG32438	1
2687	CG17776	CG33134	1
2688	CG17776	CG6046	1
2689	CG17776	CG6803	1
2690	CG17776	CG8578	1
2691	CG17785	CG5026	1
2692	CG17785	CG6398	1
2693	CG17785	CG8487	1
2694	CG1782	CG2540	1
2695	CG1782	CG3017	1
2696	CG17824	CG6707	1
2697	CG17836	CG32940	1
2698	CG17836	CG5303	1
2699	CG17836	CG6459	1
2700	CG17841	CG2674	1
2701	CG17855	CG4087	1
2702	CG17855	CG4617	1
2703	CG17896	CG8548	1
2704	CG17903	CG30044	1
2705	CG17903	CG3114	1
2706	CG17903	CG31319	1
2707	CG17903	CG4795	1
2708	CG17903	CG5792	1
2709	CG17903	CG6891	1
2710	CG17903	CG8292	1
2711	CG17903	CG8884	1
2712	CG17903	CG9060	1
2713	CG17903	CG9506	1
2714	CG17903	CG9665	1
2715	CG1793	CG4832	1
2716	CG1793	CG8260	1
2717	CG17943	CG3395	1
2718	CG17947	CG8239	1
2719	CG17985	CG4432	1
2720	CG17985	CG5820	1
2721	CG17985	CG9169	1
2722	CG17988	CG3376	1
2723	CG18004	CG31111	1
2724	CG18005	CG5410	1
2725	CG18005	CG7352	1
2726	CG1803	CG4878	1
2727	CG18041	CG5121	1
2728	CG18042	CG9242	1
2729	CG18067	CG9875	1
2730	CG18090	CG8507	1
2731	CG18090	CG9928	1
2732	CG18094	CG2207	1
2733	CG18112	CG31175	1
2734	CG18112	CG5127	1
2735	CG18135	CG33103	1
2736	CG18135	CG5064	1
2737	CG18135	CG5920	1
2738	CG18135	CG8292	1
2739	CG1815	CG18806	1
2740	CG1821	CG2246	1
2741	CG1821	CG2984	1
2742	CG1821	CG4162	1
2743	CG1821	CG4835	1
2744	CG1821	CG8414	1
2745	CG1825	CG33070	1
2746	CG1825	CG9588	1
2747	CG18259	CG18584	1
2748	CG18259	CG3093	1
2749	CG18259	CG3151	1
2750	CG18259	CG3189	1
2751	CG18259	CG3193	1
2752	CG18259	CG4095	1
2753	CG18259	CG4303	1
2754	CG18259	CG5792	1
2755	CG18259	CG5809	1
2756	CG18259	CG5939	1
2757	CG18259	CG6333	1
2758	CG18259	CG9356	1
2759	CG18266	CG18591	1
2760	CG18266	CG7611	1
2761	CG18266	CG7800	1
2762	CG18316	CG2046	1
2763	CG18316	CG7352	1
2764	CG18332	CG2865	1
2765	CG18332	CG2925	1
2766	CG18332	CG9173	1
2767	CG18343	CG7738	1
2768	CG18358	CG4185	1
2769	CG18362	CG2216	1
2770	CG18362	CG4071	1
2771	CG18362	CG6569	1
2772	CG18367	CG30183	1
2773	CG18397	CG2213	1
2774	CG18398	CG3917	1
2775	CG18398	CG4008	1
2776	CG18398	CG6770	1
2777	CG18398	CG8600	1
2778	CG18408	CG3299	1
2779	CG18408	CG33208	1
2780	CG1841	CG9353	1
2781	CG18412	CG5212	1
2782	CG18412	CG5733	1
2783	CG18449	CG3661	1
2784	CG18449	CG6459	1
2785	CG1847	CG4634	1
2786	CG1847	CG9986	1
2787	CG18496	CG32940	1
2788	CG18496	CG3661	1
2789	CG1851	CG3953	1
2790	CG1851	CG6332	1
2791	CG1851	CG8635	1
2792	CG1851	CG9699	1
2793	CG18528	CG7793	1
2794	CG18559	CG9986	1
2795	CG18572	CG31232	1
2796	CG18572	CG9975	1
2797	CG18584	CG31036	1
2798	CG18584	CG31797	1
2799	CG18584	CG31909	1
2800	CG18584	CG3610	1
2801	CG18584	CG3929	1
2802	CG18584	CG4445	1
2803	CG18584	CG4533	1
2804	CG18584	CG4759	1
2805	CG18584	CG6779	1
2806	CG18584	CG8151	1
2807	CG18584	CG8598	1
2808	CG18584	CG8975	1
2809	CG18584	CG9665	1
2810	CG18584	CG9951	1
2811	CG18608	CG2652	1
2812	CG18608	CG9576	1
2813	CG18616	CG5582	1
2814	CG18616	CG6049	1
2815	CG18616	CG6486	1
2816	CG18616	CG7841	1
2817	CG18616	CG8615	1
2818	CG18616	CG9539	1
2819	CG18624	CG5114	1
2820	CG18628	CG6843	1
2821	CG1871	CG31640	1
2822	CG1871	CG3689	1
2823	CG1871	CG3929	1
2824	CG18730	CG30011	1
2825	CG18734	CG32705	1
2826	CG18734	CG3858	1
2827	CG18734	CG6569	1
2828	CG18734	CG7605	1
2829	CG18769	CG33067	1
2830	CG18780	CG3880	1
2831	CG18806	CG2109	1
2832	CG18806	CG2855	1
2833	CG18806	CG3917	1
2834	CG18806	CG4086	1
2835	CG18806	CG5374	1
2836	CG18806	CG5676	1
2837	CG18806	CG5820	1
2838	CG18806	CG5938	1
2839	CG18806	CG6253	1
2840	CG18806	CG6398	1
2841	CG18812	CG9986	1
2842	CG1883	CG2925	1
2843	CG1883	CG30011	1
2844	CG1883	CG4893	1
2845	CG1883	CG6353	1
2846	CG1883	CG7146	1
2847	CG1883	CG7231	1
2848	CG1883	CG7352	1
2849	CG1883	CG8383	1
2850	CG1883	CG9173	1
2851	CG1883	CG9331	1
2852	CG1884	CG9060	1
2853	CG1884	CG9368	1
2854	CG1909	CG6608	1
2855	CG1911	CG2865	1
2856	CG1921	CG2194	1
2857	CG1921	CG4672	1
2858	CG1921	CG4959	1
2859	CG1921	CG5358	1
2860	CG1921	CG7570	1
2861	CG1921	CG8430	1
2862	CG1921	CG9653	1
2863	CG1925	CG1999	1
2864	CG1944	CG6205	1
2865	CG1958	CG6380	1
2866	CG1965	CG33129	1
2867	CG1968	CG2038	1
2868	CG1968	CG30183	1
2869	CG1968	CG31324	1
2870	CG1968	CG32809	1
2871	CG1968	CG4303	1
2872	CG1968	CG4617	1
2873	CG1968	CG5341	1
2874	CG1968	CG5857	1
2875	CG1968	CG7352	1
2876	CG1968	CG8065	1
2877	CG1968	CG8606	1
2878	CG1975	CG3386	1
2879	CG1975	CG5792	1
2880	CG1975	CG6333	1
2881	CG1977	CG2746	1
2882	CG1977	CG8288	1
2883	CG1978	CG4576	1
2884	CG1994	CG8322	1
2885	CG2023	CG2336	1
2886	CG2046	CG2522	1
2887	CG2046	CG4634	1
2888	CG2046	CG4759	1
2889	CG2046	CG9893	1
2890	CG2061	CG32694	1
2891	CG2061	CG9986	1
2892	CG2083	CG4795	1
2893	CG2083	CG8793	1
2894	CG2086	CG9325	1
2895	CG2091	CG2168	1
2896	CG2091	CG31649	1
2897	CG2091	CG8865	1
2898	CG2092	CG4454	1
2899	CG2096	CG2608	1
2900	CG2096	CG2865	1
2901	CG2096	CG31045	1
2902	CG2096	CG4122	1
2903	CG2096	CG4303	1
2904	CG2096	CG5792	1
2905	CG2096	CG6416	1
2906	CG2096	CG6578	1
2907	CG2096	CG7808	1
2908	CG2097	CG8816	1
2909	CG2099	CG6353	1
2910	CG2099	CG7558	1
2911	CG2107	CG6164	1
2912	CG2107	CG8988	1
2913	CG2109	CG30011	1
2914	CG2109	CG31036	1
2915	CG2109	CG5446	1
2916	CG2145	CG3195	1
2917	CG2145	CG5461	1
2918	CG2157	CG9192	1
2919	CG2160	CG9291	1
2920	CG2165	CG8793	1
2921	CG2168	CG3004	1
2922	CG2168	CG31457	1
2923	CG2168	CG3948	1
2924	CG2168	CG4792	1
2925	CG2168	CG4865	1
2926	CG2168	CG6544	1
2927	CG2168	CG6840	1
2928	CG2168	CG6843	1
2929	CG2168	CG7231	1
2930	CG2168	CG9331	1
2931	CG2168	CG9511	1
2932	CG2171	CG4835	1
2933	CG2171	CG4865	1
2934	CG2194	CG5824	1
2935	CG2200	CG3308	1
2936	CG2207	CG32654	1
2937	CG2207	CG9506	1
2938	CG2207	CG9511	1
2939	CG2207	CG9951	1
2940	CG2210	CG32100	1
2941	CG2210	CG33209	1
2942	CG2213	CG31175	1
2943	CG2213	CG6544	1
2944	CG2216	CG2637	1
2945	CG2216	CG32016	1
2946	CG2216	CG33103	1
2947	CG2216	CG6683	1
2948	CG2216	CG7231	1
2949	CG2221	CG4959	1
2950	CG2225	CG2258	1
2951	CG2225	CG3715	1
2952	CG2227	CG4326	1
2953	CG2233	CG33085	1
2954	CG2233	CG5099	1
2955	CG2246	CG2803	1
2956	CG2246	CG3922	1
2957	CG2246	CG6510	1
2958	CG2246	CG7298	1
2959	CG2249	CG4827	1
2960	CG2249	CG9986	1
2961	CG2258	CG31029	1
2962	CG2258	CG31738	1
2963	CG2258	CG6422	1
2964	CG2261	CG33141	1
2965	CG2261	CG4832	1
2966	CG2261	CG6253	1
2967	CG2261	CG8086	1
2968	CG2264	CG9506	1
2969	CG2278	CG6276	1
2970	CG2286	CG3085	1
2971	CG2286	CG3299	1
2972	CG2286	CG7352	1
2973	CG2331	CG30011	1
2974	CG2331	CG4167	1
2975	CG2331	CG9238	1
2976	CG2336	CG8525	1
2977	CG2336	CG9801	1
2978	CG2453	CG4168	1
2979	CG2467	CG30084	1
2980	CG2540	CG31649	1
2981	CG2540	CG6046	1
2982	CG2540	CG9291	1
2983	CG2540	CG9415	1
2984	CG2540	CG9834	1
2985	CG2637	CG31363	1
2986	CG2637	CG5760	1
2987	CG2637	CG7351	1
2988	CG2665	CG3939	1
2989	CG2670	CG32016	1
2990	CG2674	CG3209	1
2991	CG2674	CG5502	1
2992	CG2691	CG32140	1
2993	CG2701	CG2925	1
2994	CG2708	CG5325	1
2995	CG2709	CG31053	1
2996	CG2709	CG32940	1
2997	CG2709	CG6779	1
2998	CG2709	CG7238	1
2999	CG2709	CG8141	1
3000	CG2713	CG9623	1
3001	CG2715	CG3021	1
3002	CG2715	CG6223	1
3003	CG2715	CG9474	1
3004	CG2718	CG5099	1
3005	CG2718	CG8568	1
3006	CG2746	CG4561	1
3007	CG2746	CG5102	1
3008	CG2746	CG5174	1
3009	CG2746	CG8843	1
3010	CG2759	CG9392	1
3011	CG2774	CG3610	1
3012	CG2774	CG7952	1
3013	CG2774	CG8282	1
3014	CG2791	CG33141	1
3015	CG2803	CG32096	1
3016	CG2812	CG6608	1
3017	CG2830	CG3107	1
3018	CG2830	CG32555	1
3019	CG2830	CG32647	1
3020	CG2830	CG3781	1
3021	CG2830	CG4168	1
3022	CG2830	CG4617	1
3023	CG2830	CG4836	1
3024	CG2830	CG5649	1
3025	CG2830	CG5792	1
3026	CG2830	CG6459	1
3027	CG2830	CG6486	1
3028	CG2830	CG6910	1
3029	CG2830	CG6932	1
3030	CG2830	CG9247	1
3031	CG2848	CG3612	1
3032	CG2865	CG30460	1
3033	CG2865	CG31000	1
3034	CG2865	CG32464	1
3035	CG2865	CG3295	1
3036	CG2865	CG3365	1
3037	CG2865	CG3443	1
3038	CG2865	CG3661	1
3039	CG2865	CG4216	1
3040	CG2865	CG4294	1
3041	CG2865	CG4303	1
3042	CG2865	CG5380	1
3043	CG2865	CG5709	1
3044	CG2865	CG5920	1
3045	CG2865	CG6378	1
3046	CG2865	CG6850	1
3047	CG2865	CG7352	1
3048	CG2865	CG8815	1
3049	CG2865	CG8816	1
3050	CG2865	CG8857	1
3051	CG2865	CG9099	1
3052	CG2910	CG31121	1
3053	CG2910	CG9448	1
3054	CG2925	CG31029	1
3055	CG2925	CG3193	1
3056	CG2925	CG5519	1
3057	CG2925	CG9028	1
3058	CG2925	CG9539	1
3059	CG2944	CG4059	1
3060	CG2944	CG8016	1
3061	CG2944	CG8495	1
3062	CG2944	CG8817	1
3063	CG2944	CG9291	1
3064	CG2972	CG7126	1
3065	CG2977	CG4835	1
3066	CG2977	CG5410	1
3067	CG2977	CG7570	1
3068	CG2982	CG6196	1
3069	CG2982	CG9163	1
3070	CG2984	CG4552	1
3071	CG2984	CG6253	1
3072	CG2986	CG8292	1
3073	CG2998	CG3365	1
3074	CG2998	CG4887	1
3075	CG30011	CG6046	1
3076	CG30011	CG7382	1
3077	CG30035	CG5792	1
3078	CG3004	CG9173	1
3079	CG30044	CG6151	1
3080	CG30044	CG8981	1
3081	CG30077	CG4832	1
3082	CG30077	CG5026	1
3083	CG30084	CG32068	1
3084	CG30084	CG5445	1
3085	CG30084	CG6779	1
3086	CG30084	CG6843	1
3087	CG30084	CG8541	1
3088	CG30115	CG4699	1
3089	CG30115	CG4863	1
3090	CG30115	CG6707	1
3091	CG30115	CG9911	1
3092	CG30118	CG7231	1
3093	CG30122	CG5792	1
3094	CG30122	CG6058	1
3095	CG30122	CG7879	1
3096	CG30122	CG8615	1
3097	CG3017	CG33130	1
3098	CG3017	CG33154	1
3099	CG3017	CG7828	1
3100	CG3019	CG6843	1
3101	CG30193	CG3651	1
3102	CG30194	CG4771	1
3103	CG30194	CG6891	1
3104	CG30217	CG3308	1
3105	CG30217	CG6196	1
3106	CG30291	CG3610	1
3107	CG30337	CG9986	1
3108	CG30349	CG3861	1
3109	CG30359	CG9473	1
3110	CG30403	CG5709	1
3111	CG30404	CG4069	1
3112	CG30414	CG4059	1
3113	CG30415	CG31319	1
3114	CG30415	CG7173	1
3115	CG30419	CG9986	1
3116	CG30437	CG8276	1
3117	CG3048	CG5410	1
3118	CG3048	CG8446	1
3119	CG3048	CG9541	1
3120	CG30492	CG4303	1
3121	CG30492	CG5461	1
3122	CG30492	CG5792	1
3123	CG30502	CG5792	1
3124	CG30502	CG6450	1
3125	CG30502	CG6519	1
3126	CG30502	CG9554	1
3127	CG3054	CG9099	1
3128	CG3058	CG8925	1
3129	CG3060	CG4617	1
3130	CG3075	CG3114	1
3131	CG3075	CG32043	1
3132	CG3075	CG4257	1
3133	CG3075	CG7570	1
3134	CG3078	CG3987	1
3135	CG3078	CG6057	1
3136	CG3078	CG7570	1
3137	CG3081	CG32940	1
3138	CG3081	CG3533	1
3139	CG3081	CG4216	1
3140	CG3081	CG6134	1
3141	CG3081	CG7017	1
3142	CG3081	CG7238	1
3143	CG3081	CG9173	1
3144	CG3081	CG9911	1
3145	CG3085	CG33095	1
3146	CG3085	CG33126	1
3147	CG3085	CG3651	1
3148	CG3085	CG4719	1
3149	CG3085	CG6137	1
3150	CG3085	CG8470	1
3151	CG3085	CG9597	1
3152	CG31006	CG3825	1
3153	CG31029	CG31122	1
3154	CG31029	CG4365	1
3155	CG31036	CG3151	1
3156	CG31036	CG5062	1
3157	CG31036	CG9986	1
3158	CG31045	CG5355	1
3159	CG31045	CG6196	1
3160	CG31045	CG7392	1
3161	CG31045	CG9195	1
3162	CG31052	CG31909	1
3163	CG31052	CG5965	1
3164	CG31052	CG6416	1
3165	CG31052	CG6764	1
3166	CG31052	CG7173	1
3167	CG31063	CG6170	1
3168	CG31111	CG4324	1
3169	CG31120	CG31232	1
3170	CG31120	CG4848	1
3171	CG31120	CG5359	1
3172	CG31120	CG6378	1
3173	CG31120	CG7439	1
3174	CG31121	CG6253	1
3175	CG31122	CG9193	1
3176	CG31136	CG6625	1
3177	CG3114	CG3193	1
3178	CG3114	CG32068	1
3179	CG3114	CG3371	1
3180	CG3114	CG4617	1
3181	CG3114	CG4788	1
3182	CG3114	CG4865	1
3183	CG3114	CG5175	1
3184	CG3114	CG5433	1
3185	CG3114	CG6073	1
3186	CG3114	CG6340	1
3187	CG3114	CG6779	1
3188	CG3114	CG7037	1
3189	CG3114	CG7808	1
3190	CG3114	CG8085	1
3191	CG31140	CG7835	1
3192	CG31140	CG9291	1
3193	CG31163	CG32096	1
3194	CG31163	CG5482	1
3195	CG31163	CG8900	1
3196	CG31170	CG5183	1
3197	CG31170	CG8507	1
3198	CG31170	CG8965	1
3199	CG31175	CG3263	1
3200	CG31175	CG33129	1
3201	CG31175	CG3917	1
